scaffold	start	end	mid	sites	pi_FM	pi_NON_FM	dxy_FM_NON_FM	Fst_FM_NON_FM
20	10359001	10360000	10359443	34	0.1541	0.138	0.1498	0.0124
20	10360001	10361000	10360505	32	0.1612	0.1517	0.1629	0.0189
20	10361001	10362000	10361417	18	0.1689	0.1548	0.1798	0.0492
20	10362001	10363000	10362508	38	0.186	0.1926	0.1952	0.0136
20	10363001	10364000	10363515	35	0.0957	0.0708	0.0872	0.0241
20	10364001	10365000	10364602	40	0.1114	0.106	0.1134	0.0197
20	10365001	10366000	10365414	27	0.2083	0.1714	0.1946	0.0129
20	10366001	10367000	10366480	38	0.1985	0.1705	0.1908	0.0167
20	10367001	10368000	10367340	21	0.1573	0.1466	0.1585	0.0195
20	10368001	10369000	10368466	26	0.134	0.1782	0.1685	0.0317
20	10369001	10370000	10369533	51	0.12	0.127	0.1297	0.0219
20	10370001	10371000	10370509	36	0.1737	0.1735	0.189	0.0386
20	10371001	10372000	10371425	28	0.221	0.2196	0.23	0.0196
20	10372001	10373000	10372480	46	0.162	0.1763	0.1849	0.0395
20	10373001	10374000	10373569	33	0.1417	0.1129	0.148	0.0723
20	10374001	10375000	10374417	34	0.1616	0.1547	0.1667	0.0245
20	10375001	10376000	10375493	33	0.1796	0.2048	0.2045	0.0267
20	10376001	10377000	10376682	17	0.2238	0.2232	0.2337	0.0202
20	10377001	10378000	10377708	24	0.2177	0.2031	0.2223	0.0256
20	10378001	10379000	10378535	27	0.1506	0.1358	0.1477	0.015
20	10379001	10380000	10379378	19	0.2029	0.1946	0.2219	0.0507
20	10380001	10381000	10380486	20	0.1635	0.198	0.1876	0.0151
20	10381001	10382000	10381363	23	0.1193	0.1413	0.1427	0.0393
20	10382001	10383000	10382353	15	0.1306	0.0937	0.118	0.0267
20	10383001	10384000	10383478	12	0.1394	0.1393	0.1397	0.0011
20	10384001	10385000	10384527	26	0.2077	0.1863	0.2107	0.0319
20	10385001	10386000	10385405	21	0.1428	0.1927	0.1743	0.0148
20	10386001	10387000	10386608	31	0.1095	0.1511	0.1374	0.021
20	10387001	10388000	10387406	22	0.1201	0.1142	0.1187	0.0063
20	10388001	10389000	10388506	26	0.2283	0.2311	0.2412	0.0221
20	10389001	10390000	10389410	14	0.127	0.1667	0.1523	0.0142
20	10390001	10391000	10390470	17	0.1463	0.11	0.1341	0.0238
20	10391001	10392000	10391498	32	0.1641	0.1547	0.163	0.0107
20	10392001	10393000	10392455	15	0.0676	0.1119	0.095	0.0211
20	10393001	10394000	10393385	23	0.1872	0.1881	0.1952	0.018
20	10394001	10395000	10394518	20	0.1668	0.1455	0.1637	0.0228
20	10395001	10396000	10395669	17	0.2342	0.1741	0.2094	0.014
20	10396001	10397000	10396596	16	0.1776	0.2127	0.1996	0.0088
20	10397001	10398000	10397449	14	0.1341	0.1659	0.1566	0.0176
20	10398001	10399000	10398454	27	0.1508	0.1507	0.162	0.0327
20	10399001	10400000	10399424	32	0.1586	0.1586	0.1646	0.0169
20	10400001	10401000	10400581	28	0.2032	0.2185	0.2278	0.0342
20	10401001	10402000	10401424	29	0.213	0.193	0.2191	0.0359
20	10402001	10403000	10402323	14	0.1206	0.187	0.1627	0.02
20	10403001	10404000	10403580	21	0.0882	0.0899	0.0933	0.0208
20	10404001	10405000	10404386	25	0.2039	0.2019	0.2103	0.0164
20	10405001	10406000	10405453	26	0.1432	0.1281	0.1385	0.0102
20	10406001	10407000	10406545	24	0.2141	0.1872	0.2084	0.0184
20	10407001	10408000	10407473	27	0.1886	0.1894	0.2013	0.0285
20	10408001	10409000	10408301	27	0.1295	0.1455	0.1448	0.0223
20	10409001	10410000	10409539	19	0.1737	0.1577	0.1712	0.0158
20	10410001	10411000	10410596	15	0.0708	0.0808	0.0804	0.0251
20	10411001	10412000	10411538	26	0.2278	0.2107	0.2327	0.0279
20	10412001	10413000	10412535	29	0.1619	0.1356	0.1643	0.0475
20	10413001	10414000	10413522	32	0.2177	0.2217	0.2298	0.0201
20	10414001	10415000	10414454	35	0.1822	0.1587	0.1805	0.0275
20	10415001	10416000	10415415	36	0.1539	0.1651	0.1701	0.0284
20	10416001	10417000	10416591	30	0.1342	0.0925	0.1215	0.0362
20	10417001	10418000	10417413	23	0.1254	0.1186	0.1343	0.0445
20	10418001	10419000	10418509	27	0.1151	0.1298	0.1313	0.0303
20	10419001	10420000	10419652	31	0.0935	0.1227	0.1122	0.0145
20	10420001	10421000	10420495	56	0.1346	0.1295	0.1459	0.046
20	10421001	10422000	10421447	9	0.1993	0.1273	0.1785	0.0465
20	10422001	10423000	10422423	14	0.1147	0.1372	0.1315	0.0184
20	10423001	10424000	10423641	22	0.114	0.1438	0.1335	0.0138
20	10424001	10425000	10424570	36	0.133	0.1588	0.1529	0.0194
20	10425001	10426000	10425560	38	0.0785	0.1305	0.1163	0.0425
20	10426001	10427000	10426672	29	0.1564	0.1555	0.164	0.023
20	10427001	10428000	10427464	24	0.1155	0.1282	0.1289	0.0245
20	10428001	10429000	10428575	26	0.2258	0.183	0.2125	0.0197
20	10429001	10430000	10429539	15	0.0227	0.0587	0.041	-0.0028
20	10430001	10431000	10430421	32	0.1442	0.1592	0.1639	0.0342
20	10431001	10432000	10431550	28	0.1041	0.1171	0.1126	0.0071
20	10432001	10433000	10432520	30	0.1444	0.1731	0.1634	0.0114
20	10433001	10434000	10433503	26	0.1813	0.2039	0.2009	0.018
20	10434001	10435000	10434463	38	0.1384	0.1338	0.1532	0.0546
20	10435001	10436000	10435366	27	0.1456	0.2171	0.1998	0.0391
20	10436001	10437000	10436532	20	0.1545	0.1755	0.1864	0.0537
20	10437001	10438000	10437383	18	0.1146	0.1822	0.1669	0.0475
20	10438001	10439000	10438390	33	0.1942	0.1897	0.2228	0.0682
20	10439001	10440000	10439424	19	0.1421	0.1794	0.1721	0.0284
20	10440001	10441000	10440428	21	0.1065	0.1686	0.1432	0.0143
20	10441001	10442000	10441558	31	0.0961	0.2036	0.188	0.09
20	10442001	10443000	10442560	22	0.1378	0.1844	0.1716	0.0255
20	10443001	10444000	10443603	25	0.0848	0.1067	0.1016	0.0246
20	10444001	10445000	10444491	14	0.1797	0.1775	0.1827	0.0104
20	10445001	10446000	10445505	14	0.1104	0.1984	0.1707	0.0385
20	10446001	10447000	10446472	35	0.1179	0.1539	0.141	0.0145
20	10447001	10448000	10447453	29	0.2201	0.2399	0.2381	0.0149
20	10448001	10449000	10448554	20	0.0668	0.0757	0.0717	0.002
20	10449001	10450000	10449521	21	0.158	0.1395	0.1535	0.0154
20	10450001	10451000	10450466	26	0.0795	0.1478	0.1345	0.0672
20	10451001	10452000	10451443	22	0.1495	0.171	0.187	0.0683
20	10452001	10453000	10452366	20	0.0929	0.1174	0.1321	0.0992
20	10453001	10454000	10453449	38	0.1129	0.1531	0.1487	0.0466
20	10454001	10455000	10454455	13	0.1198	0.1434	0.1429	0.0353
20	10455001	10456000	10455522	38	0.1752	0.1637	0.1781	0.0234
20	10456001	10457000	10456511	37	0.0678	0.0896	0.0837	0.0253
20	10457001	10458000	10457505	27	0.1494	0.1762	0.1768	0.0356
20	10458001	10459000	10458488	24	0.0842	0.151	0.1248	0.0213
20	10459001	10460000	10459529	17	0.1036	0.1328	0.1214	0.0101
20	10460001	10461000	10460494	22	0.0953	0.0811	0.1001	0.0599
20	10461001	10462000	10461540	20	0.1941	0.2202	0.2214	0.0289
20	10462001	10463000	10462589	19	0.1434	0.2104	0.186	0.0192
20	10463001	10464000	10463602	13	0.1753	0.1429	0.1702	0.0331
20	10464001	10465000	10464534	27	0.1315	0.151	0.1503	0.0266
20	10465001	10466000	10465375	20	0.1979	0.2108	0.2077	0.0067
20	10466001	10467000	10466546	34	0.1409	0.1689	0.1793	0.0638
20	10467001	10468000	10467512	44	0.1175	0.1636	0.1486	0.022
20	10468001	10469000	10468442	44	0.1281	0.1411	0.1489	0.0447
20	10469001	10470000	10469424	22	0.1358	0.114	0.1285	0.0143
20	10470001	10471000	10470545	36	0.173	0.2028	0.1981	0.0224
20	10471001	10472000	10471419	31	0.1477	0.1482	0.1578	0.0293
20	10472001	10473000	10472394	48	0.1181	0.1625	0.1615	0.0594
20	10473001	10474000	10473443	32	0.1367	0.0815	0.126	0.074
20	10474001	10475000	10474527	33	0.2111	0.1249	0.1944	0.0754
20	10475001	10476000	10475516	31	0.2475	0.1377	0.2196	0.0692
20	10476001	10477000	10476650	29	0.103	0.0957	0.1078	0.0382
20	10477001	10478000	10477439	34	0.2198	0.1105	0.1947	0.0875
20	10478001	10479000	10478360	24	0.3175	0.1899	0.2967	0.0804
20	10479001	10480000	10479598	29	0.1774	0.1473	0.1786	0.0459
20	10480001	10481000	10480453	42	0.1685	0.1121	0.1546	0.0496
20	10481001	10482000	10481474	49	0.1761	0.1238	0.1709	0.0653
20	10482001	10483000	10482468	23	0.1635	0.1427	0.1719	0.0546
20	10483001	10484000	10483443	33	0.2162	0.1424	0.2011	0.0586
20	10484001	10485000	10484494	31	0.1603	0.1699	0.1726	0.0195
20	10485001	10486000	10485552	32	0.1504	0.1655	0.1629	0.0133
20	10486001	10487000	10486541	31	0.1525	0.1235	0.1472	0.0318
20	10487001	10488000	10487553	41	0.1757	0.1547	0.1724	0.0206
20	10488001	10489000	10488561	38	0.1528	0.1518	0.1573	0.0148
20	10489001	10490000	10489515	56	0.0993	0.1177	0.1114	0.0107
20	10490001	10491000	10490463	41	0.1476	0.1609	0.1593	0.014
20	10491001	10492000	10491480	34	0.1544	0.1802	0.1747	0.0181
20	10492001	10493000	10492432	33	0.098	0.0973	0.1013	0.0169
20	10493001	10494000	10493573	27	0.1896	0.1912	0.1922	0.0042
20	10494001	10495000	10494577	29	0.1697	0.1691	0.1739	0.0118
20	10495001	10496000	10495495	29	0.1707	0.1584	0.1887	0.0637
20	10496001	10497000	10496542	24	0.127	0.1672	0.1598	0.0346
20	10497001	10498000	10497571	32	0.1578	0.1542	0.1685	0.0352
20	10498001	10499000	10498520	35	0.1775	0.1646	0.1753	0.0119
20	10499001	10500000	10499492	29	0.1072	0.113	0.1179	0.0305
20	10500001	10501000	10500462	21	0.118	0.0783	0.1143	0.0767
20	10501001	10502000	10501487	23	0.1478	0.1692	0.1817	0.0601
20	10502001	10503000	10502585	28	0.1634	0.0883	0.1465	0.0799
20	10503001	10504000	10503474	33	0.2055	0.121	0.1805	0.0531
20	10504001	10505000	10504530	38	0.2073	0.1672	0.2091	0.0533
20	10505001	10506000	10505527	27	0.2294	0.1366	0.2036	0.056
20	10506001	10507000	10506527	14	0.2385	0.1611	0.2237	0.0572
20	10507001	10508000	10507472	14	0.1522	0.0779	0.136	0.0888
20	10508001	10509000	10508419	12	0.073	0.0654	0.0729	0.0247
20	10509001	10510000	10509537	21	0.1409	0.1651	0.1641	0.0303
20	10510001	10511000	10510478	28	0.1769	0.146	0.175	0.0391
20	10511001	10512000	10511398	24	0.1114	0.1296	0.1215	0.0026
20	10512001	10513000	10512396	37	0.1198	0.1243	0.1321	0.0356
20	10513001	10514000	10513418	30	0.1163	0.1473	0.141	0.0281
20	10514001	10515000	10514438	13	0.1177	0.1307	0.1321	0.0266
20	10515001	10516000	10515594	18	0.0192	0.0328	0.0269	0.0121
20	10516001	10517000	10516504	22	0.2096	0.1694	0.2063	0.0415
20	10517001	10518000	10517666	17	0.2872	0.246	0.2953	0.0487
20	10518001	10519000	10518570	24	0.1344	0.1802	0.1645	0.0175
20	10519001	10520000	10519580	19	0.2614	0.1589	0.2382	0.0647
20	10520001	10521000	10520292	13	0.1441	0.0971	0.1349	0.0571
20	10521001	10522000	10521439	18	0.1215	0.152	0.1414	0.0133
20	10522001	10523000	10522606	13	0.1819	0.1625	0.1791	0.019
20	10523001	10524000	10523568	26	0.0953	0.116	0.1112	0.0211
20	10524001	10525000	10524581	36	0.1254	0.1811	0.1627	0.0235
20	10525001	10526000	10525464	42	0.1284	0.1382	0.1448	0.0366
20	10526001	10527000	10526424	36	0.1465	0.1056	0.137	0.042
20	10527001	10528000	10527420	12	0.1648	0.1921	0.1976	0.0443
20	10528001	10529000	10528623	24	0.0907	0.1369	0.1169	0.0089
20	10529001	10530000	10529493	28	0.1504	0.1486	0.1603	0.032
20	10530001	10531000	10530483	27	0.1609	0.1538	0.1695	0.0343
20	10531001	10532000	10531495	25	0.1465	0.1058	0.1441	0.0657
20	10532001	10533000	10532487	32	0.074	0.1005	0.0951	0.0353
20	10533001	10534000	10533570	26	0.1376	0.1833	0.1831	0.0564
20	10534001	10535000	10534480	18	0.162	0.2073	0.1946	0.0214
20	10535001	10536000	10535460	21	0.1588	0.188	0.1864	0.0309
20	10536001	10537000	10536629	21	0.1596	0.2029	0.1978	0.037
20	10537001	10538000	10537586	16	0.193	0.152	0.1892	0.0453
20	10538001	10539000	10538469	19	0.1451	0.0805	0.1203	0.0382
20	10539001	10540000	10539589	18	0.0577	0.069	0.0637	0.0014
20	10540001	10541000	10540495	30	0.1308	0.1954	0.1736	0.0242
20	10541001	10542000	10541504	30	0.1087	0.1134	0.1185	0.0291
20	10542001	10543000	10542618	23	0.1953	0.2211	0.2139	0.0112
20	10543001	10544000	10543431	18	0.2279	0.2481	0.2453	0.013
20	10544001	10545000	10544474	21	0.125	0.1352	0.137	0.0226
20	10545001	10546000	10545424	21	0.1162	0.1824	0.1538	0.0099
20	10546001	10547000	10546681	13	0.0962	0.1765	0.1408	0.0096
20	10547001	10548000	10547445	28	0.1312	0.1966	0.1714	0.0167
20	10548001	10549000	10548633	38	0.1037	0.1405	0.1285	0.0203
20	10549001	10550000	10549652	20	0.113	0.1065	0.1166	0.0283
20	10550001	10551000	10550459	23	0.1764	0.1911	0.196	0.0283
20	10551001	10552000	10551495	15	0.2324	0.2359	0.2386	0.0085
20	10552001	10553000	10552549	26	0.1364	0.1666	0.1588	0.0195
20	10553001	10554000	10553436	48	0.1414	0.1653	0.1642	0.0293
20	10554001	10555000	10554496	49	0.1263	0.1608	0.168	0.0677
20	10555001	10556000	10555473	41	0.0886	0.1431	0.1204	0.0133
20	10556001	10557000	10556454	37	0.1711	0.1588	0.1784	0.0365
20	10557001	10558000	10557510	24	0.1267	0.1086	0.1269	0.0364
20	10558001	10559000	10558454	21	0.1922	0.1902	0.2002	0.0211
20	10559001	10560000	10559633	25	0.2116	0.2304	0.2284	0.0142
20	10560001	10561000	10560418	22	0.219	0.2108	0.2294	0.03
20	10561001	10562000	10561446	30	0.1867	0.18	0.1895	0.0151
20	10562001	10563000	10562622	19	0.1229	0.1825	0.1746	0.0554
20	10563001	10564000	10563623	31	0.1979	0.1726	0.202	0.0412
20	10564001	10565000	10564375	25	0.1536	0.1159	0.1463	0.0409
20	10565001	10566000	10565471	15	0.1364	0.1723	0.1793	0.0641
20	10566001	10567000	10566568	30	0.1878	0.1854	0.1997	0.031
20	10567001	10568000	10567505	38	0.1601	0.1365	0.1542	0.0192
20	10568001	10569000	10568482	34	0.1308	0.15	0.1535	0.0388
20	10569001	10570000	10569551	35	0.1411	0.1772	0.1737	0.0369
20	10570001	10571000	10570599	28	0.1985	0.178	0.1949	0.0169
20	10571001	10572000	10571492	21	0.1292	0.0879	0.1273	0.0793
20	10572001	10573000	10572389	33	0.1367	0.1381	0.1509	0.0426
20	10573001	10574000	10573569	33	0.2177	0.2076	0.2455	0.0662
20	10574001	10575000	10574545	28	0.1448	0.1527	0.1586	0.0285
20	10575001	10576000	10575493	24	0.1661	0.1532	0.1786	0.0522
20	10576001	10577000	10576548	24	0.1836	0.1609	0.1851	0.0343
20	10577001	10578000	10577673	20	0.1467	0.097	0.1389	0.0567
20	10578001	10579000	10578427	22	0.118	0.0817	0.1165	0.0709
20	10579001	10580000	10579519	25	0.2204	0.2162	0.2291	0.0221
20	10580001	10581000	10580484	40	0.135	0.1255	0.1455	0.0513
20	10581001	10582000	10581485	33	0.1796	0.1864	0.1887	0.0135
20	10582001	10583000	10582523	6	0.2322	0.1732	0.2231	0.0488
20	10583001	10584000	10583513	23	0.1185	0.1489	0.1488	0.0458
20	10584001	10585000	10584589	21	0.2058	0.1429	0.2065	0.0839
20	10585001	10586000	10585557	37	0.1613	0.1548	0.1763	0.0502
20	10586001	10587000	10586501	43	0.1805	0.1571	0.1905	0.0572
20	10587001	10588000	10587585	39	0.238	0.1817	0.2217	0.0278
20	10588001	10589000	10588498	31	0.167	0.1902	0.1907	0.0285
20	10589001	10590000	10589581	36	0.1574	0.191	0.1833	0.0213
20	10590001	10591000	10590552	30	0.0793	0.1053	0.0952	0.0116
20	10591001	10592000	10591551	32	0.124	0.1179	0.13	0.0335
20	10592001	10593000	10592400	30	0.1645	0.1137	0.1532	0.0489
20	10593001	10594000	10593581	28	0.1411	0.1955	0.1736	0.0112
20	10594001	10595000	10594600	21	0.1172	0.1547	0.142	0.018
20	10595001	10596000	10595474	27	0.1631	0.1384	0.1621	0.0336
20	10596001	10597000	10596529	36	0.1951	0.1589	0.2029	0.0637
20	10597001	10598000	10597505	15	0.0861	0.0772	0.0982	0.0849
20	10598001	10599000	10598621	35	0.1426	0.1189	0.1452	0.0485
20	10599001	10600000	10599394	24	0.1364	0.15	0.1547	0.0344
20	10600001	10601000	10600557	31	0.1449	0.1234	0.1426	0.0282
20	10601001	10602000	10601626	13	0.2072	0.1912	0.2209	0.0472
20	10602001	10603000	10602375	32	0.178	0.159	0.1746	0.0173
20	10603001	10604000	10603651	28	0.134	0.1496	0.1501	0.0248
20	10604001	10605000	10604634	22	0.1766	0.2022	0.2029	0.0299
20	10605001	10606000	10605493	14	0.1121	0.1691	0.1597	0.0523
20	10606001	10607000	10606475	19	0.1483	0.1564	0.1662	0.0389
20	10607001	10608000	10607417	11	0.181	0.1678	0.2079	0.0815
20	10608001	10609000	10608532	16	0.1139	0.0854	0.112	0.0553
20	10609001	10610000	10609527	14	0.1666	0.1831	0.1851	0.0252
20	10610001	10611000	10610614	16	0.1651	0.1896	0.188	0.0257
20	10611001	10612000	10611498	21	0.1255	0.1286	0.1348	0.0266
20	10612001	10613000	10612502	28	0.1109	0.1036	0.1174	0.0414
20	10613001	10614000	10613257	21	0.0783	0.0722	0.0797	0.0261
20	10614001	10615000	10614668	22	0.2109	0.2339	0.2282	0.0107
20	10615001	10616000	10615463	26	0.1339	0.1685	0.1611	0.0263
20	10616001	10617000	10616628	24	0.2148	0.2508	0.2555	0.0403
20	10617001	10618000	10617403	20	0.1495	0.1651	0.1678	0.0283
20	10618001	10619000	10618660	21	0.0923	0.1587	0.1323	0.0191
20	10619001	10620000	10619496	33	0.1553	0.1595	0.1645	0.0197
20	10620001	10621000	10620568	27	0.1892	0.2099	0.206	0.0135
20	10621001	10622000	10621326	29	0.0966	0.1479	0.1324	0.0315
20	10622001	10623000	10622563	23	0.2153	0.1726	0.2054	0.0286
20	10623001	10624000	10623554	27	0.1406	0.1414	0.1504	0.0291
20	10624001	10625000	10624503	31	0.161	0.2133	0.1946	0.0151
20	10625001	10626000	10625533	18	0.1391	0.1679	0.1556	0.0046
20	10626001	10627000	10626595	28	0.1194	0.1122	0.1214	0.0222
20	10627001	10628000	10627467	31	0.2051	0.1382	0.1919	0.0566
20	10628001	10629000	10628543	23	0.1298	0.0996	0.1234	0.0364
20	10629001	10630000	10629448	29	0.1195	0.1192	0.1226	0.0122
20	10630001	10631000	10630545	43	0.1834	0.1744	0.1884	0.0241
20	10631001	10632000	10631553	29	0.1417	0.1741	0.1683	0.0268
20	10632001	10633000	10632384	14	0.1509	0.1397	0.1494	0.0132
20	10633001	10634000	10633538	34	0.1513	0.142	0.1552	0.0265
20	10634001	10635000	10634323	35	0.1351	0.1577	0.151	0.0126
20	10635001	10636000	10635452	30	0.1652	0.1358	0.1525	0.0075
20	10636001	10637000	10636499	27	0.2174	0.2098	0.2198	0.0133
20	10637001	10638000	10637544	30	0.0812	0.1118	0.1041	0.0308
20	10638001	10639000	10638547	54	0.1474	0.1729	0.1673	0.0184
20	10639001	10640000	10639524	28	0.1554	0.177	0.1759	0.0245
20	10640001	10641000	10640577	28	0.1984	0.2138	0.2282	0.0454
20	10641001	10642000	10641498	25	0.1032	0.1043	0.1137	0.0415
20	10642001	10643000	10642471	25	0.1449	0.158	0.1593	0.022
20	10643001	10644000	10643411	16	0.1248	0.1368	0.1386	0.0254
20	10644001	10645000	10644547	22	0.1723	0.171	0.1749	0.0085
20	10645001	10646000	10645605	32	0.1098	0.1174	0.1166	0.0113
20	10646001	10647000	10646552	31	0.1827	0.1851	0.1946	0.0255
20	10647001	10648000	10647523	23	0.2123	0.2362	0.2347	0.0197
20	10648001	10649000	10648561	17	0.2016	0.1857	0.2128	0.044
20	10649001	10650000	10649421	9	0.1421	0.1266	0.1561	0.0704
20	10650001	10651000	10650562	44	0.1612	0.1497	0.1602	0.0144
20	10651001	10652000	10651467	34	0.2592	0.2395	0.251	0.0035
20	10652001	10653000	10652471	17	0.162	0.1753	0.1715	0.007
